year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,paint_color,price
2007.0,5.0,93.0,1.0,2.0,1.0,174000.0,1.0,2.0,0.0,0.0,4500
2017.0,4.0,206.0,0.0,1.0,1.0,145252.0,1.0,2.0,3.0,5.0,26800
2006.0,1.0,208.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,3.0,2500
2018.0,4.0,206.0,0.0,1.0,1.0,101775.0,1.0,2.0,3.0,5.0,27900
2004.0,21.0,209.0,0.0,1.0,1.0,187863.0,1.0,2.0,1.0,5.0,5800
2018.0,4.0,210.0,0.0,1.0,2.0,101856.0,1.0,2.0,3.0,5.0,38800
2012.0,4.0,211.0,0.0,4.0,1.0,228441.0,1.0,2.0,3.0,5.0,19900
2012.0,4.0,211.0,0.0,4.0,1.0,228441.0,1.0,2.0,3.0,5.0,19900
2017.0,4.0,82.0,0.0,1.0,1.0,175518.0,1.0,2.0,3.0,2.0,20900
2017.0,7.0,212.0,0.0,1.0,1.0,153593.0,1.0,2.0,3.0,5.0,18800
2012.0,4.0,213.0,0.0,1.0,1.0,190829.0,1.0,2.0,3.0,5.0,11800
2012.0,1.0,186.0,0.0,1.0,1.0,230262.0,1.0,2.0,1.0,3.0,10900
2017.0,15.0,214.0,0.0,2.0,1.0,60548.0,1.0,2.0,1.0,6.0,19750
2016.0,7.0,108.0,2.0,3.0,2.0,151500.0,1.0,2.0,3.0,2.0,39900
2007.0,20.0,218.0,0.0,0.0,1.0,127087.0,1.0,2.0,2.0,1.0,4777
2015.0,28.0,219.0,2.0,0.0,1.0,58000.0,5.0,2.0,2.0,5.0,15000
2006.0,29.0,220.0,2.0,0.0,1.0,139225.0,1.0,2.0,2.0,0.0,3495
2005.0,18.0,106.0,1.0,2.0,1.0,168225.0,1.0,2.0,0.0,0.0,2995
2004.0,1.0,208.0,0.0,0.0,1.0,104556.0,1.0,2.0,0.0,0.0,3995
2016.0,18.0,222.0,0.0,1.0,2.0,26000.0,1.0,2.0,3.0,4.0,41800
2010.0,18.0,132.0,0.0,3.0,1.0,125074.0,1.0,2.0,2.0,5.0,9500
2010.0,4.0,223.0,3.0,1.0,1.0,82000.0,1.0,2.0,3.0,10.0,20000
2004.0,1.0,224.0,0.0,3.0,1.0,199710.0,1.0,2.0,1.0,0.0,3900
2002.0,9.0,225.0,0.0,3.0,1.0,140631.0,1.0,2.0,2.0,1.0,2999
2006.0,16.0,57.0,0.0,2.0,1.0,168090.0,0.0,2.0,2.0,4.0,4480
2007.0,10.0,226.0,0.0,3.0,1.0,190386.0,0.0,2.0,0.0,1.0,6480
2011.0,20.0,227.0,0.0,2.0,1.0,163385.0,0.0,3.0,1.0,5.0,5950
2007.0,13.0,228.0,1.0,1.0,1.0,359000.0,1.0,2.0,3.0,11.0,6900
2002.0,10.0,229.0,0.0,3.0,1.0,223526.0,1.0,2.0,2.0,1.0,3999
2012.0,9.0,142.0,0.0,2.0,1.0,154347.0,0.0,2.0,2.0,4.0,4970
2015.0,4.0,175.0,1.0,2.0,1.0,112000.0,1.0,2.0,2.0,4.0,8000
2009.0,18.0,132.0,0.0,3.0,1.0,172783.0,0.0,3.0,2.0,0.0,5950
2008.0,1.0,92.0,3.0,1.0,1.0,156000.0,1.0,2.0,0.0,0.0,22000
2009.0,6.0,231.0,0.0,1.0,1.0,150125.0,0.0,3.0,1.0,5.0,5950
2006.0,18.0,106.0,0.0,2.0,1.0,140868.0,1.0,2.0,2.0,4.0,3500
2013.0,18.0,64.0,0.0,2.0,1.0,170273.0,0.0,2.0,0.0,2.0,7450
2009.0,17.0,233.0,0.0,2.0,1.0,149835.0,0.0,3.0,2.0,2.0,5950
2000.0,0.0,234.0,1.0,2.0,1.0,65000.0,1.0,2.0,2.0,6.0,2500
2006.0,23.0,136.0,0.0,1.0,1.0,160014.0,0.0,2.0,2.0,5.0,4980
2006.0,23.0,235.0,0.0,3.0,1.0,124201.0,1.0,2.0,2.0,5.0,4400
